userID,name,birth,email,gender_code,country_code,picture,createdAt,createdBy,modifiedAt,modifiedBy
joao.silva@cap-dinner.com,Joao Silva,2015-08-23,email-4656964,M,ru,picture-4656964,2016-06-03T00:00:00.000Z,createdBy.2rtc4@example.com,2021-09-22T00:00:00.000Z,modifiedBy.2rtc4@example.com
maria.santos@cap-dinner.com,Maria Santos,2016-04-11,email-4656965,F,br,picture-4656965,2023-04-29T00:00:00.000Z,createdBy.2rtc5@example.org,2006-04-07T00:00:00.000Z,modifiedBy.2rtc5@example.net
pedro.ferreira@cap-dinner.com,Pedro Ferreira,2006-11-27,email-4656966,M,br,picture-4656966,2002-04-11T00:00:00.000Z,createdBy.2rtc6@example.org,2006-06-21T00:00:00.000Z,modifiedBy.2rtc6@example.net
ana.costa@cap-dinner.com,Ana Costa,2013-06-25,email-4656967,F,br,picture-4656967,2015-03-26T00:00:00.000Z,createdBy.2rtc7@example.org,2020-05-11T00:00:00.000Z,modifiedBy.2rtc7@example.net
tiago.rodrigues@cap-dinner.com,Tiago Rodrigues,2012-11-05,email-4656968,M,br,picture-4656968,2013-12-06T00:00:00.000Z,createdBy.2rtc8@example.org,2000-01-10T00:00:00.000Z,modifiedBy.2rtc8@example.org
carla.martins@cap-dinner.com,Carla Martins,2023-10-21,email-4656969,F,br,picture-4656969,2015-01-31T00:00:00.000Z,createdBy.2rtc9@example.net,2023-09-02T00:00:00.000Z,modifiedBy.2rtc9@example.com
rui.pereira@cap-dinner.com,Rui Pereira,2010-06-10,email-4656970,F,br,picture-4656970,2000-03-08T00:00:00.000Z,createdBy.2rtca@example.com,2002-04-30T00:00:00.000Z,modifiedBy.2rtca@example.net
sofia.gomes@cap-dinner.com,Sofia Gomes,2019-09-08,email-4656971,F,br,picture-4656971,2020-02-03T00:00:00.000Z,createdBy.2rtcb@example.net,2016-07-03T00:00:00.000Z,modifiedBy.2rtcb@example.org
miguel.alves@cap-dinner.com,Miguel Alves,2004-11-19,email-4656972,M,de,picture-4656972,2005-09-19T00:00:00.000Z,createdBy.2rtcc@example.net,2000-09-09T00:00:00.000Z,modifiedBy.2rtcc@example.org
ines.ribeiro@cap-dinner.com,Ines Ribeiro,2002-05-09,email-4656973,F,de,picture-4656973,2001-03-04T00:00:00.000Z,createdBy.2rtcd@example.net,2001-04-14T00:00:00.000Z,modifiedBy.2rtcd@example.net
bruno.carvalho@cap-dinner.com,Bruno Carvalho,2022-12-20,email-4656974,M,it,picture-4656974,2015-06-05T00:00:00.000Z,createdBy.2rtce@example.org,2023-02-23T00:00:00.000Z,modifiedBy.2rtce@example.net
patricia.lopes@cap-dinner.com,Patricia Lopes,2006-04-08,email-4656975,M,pt,picture-4656975,2018-04-16T00:00:00.000Z,createdBy.2rtcf@example.net,2023-09-25T00:00:00.000Z,modifiedBy.2rtcf@example.org
daniel.teixeira@cap-dinner.com,Daniel Teixeira,2005-01-01,email-4656976,M,pt,picture-4656976,2019-02-06T00:00:00.000Z,createdBy.2rtcg@example.com,2013-12-09T00:00:00.000Z,modifiedBy.2rtcg@example.net
sara.moreira@cap-dinner.com,Sara Moreira,2014-11-30,email-4656977,F,pt,picture-4656977,2007-01-12T00:00:00.000Z,createdBy.2rtch@example.net,2020-11-29T00:00:00.000Z,modifiedBy.2rtch@example.org
nuno.correia@cap-dinner.com,Nuno Correia,2011-08-27,email-4656978,M,pt,picture-4656978,2001-08-11T00:00:00.000Z,createdBy.2rtci@example.org,2013-01-06T00:00:00.000Z,modifiedBy.2rtci@example.com
helena.sousa@cap-dinner.com,Helena Sousa,2011-01-22,email-4656979,M,pt,picture-4656979,2023-11-16T00:00:00.000Z,createdBy.2rtcj@example.net,2010-07-02T00:00:00.000Z,modifiedBy.2rtcj@example.org
ricardo.fernandes@cap-dinner.com,Ricardo Fernandes,2014-06-11,email-4656980,M,pt,picture-4656980,2019-06-26T00:00:00.000Z,createdBy.2rtck@example.net,2018-09-12T00:00:00.000Z,modifiedBy.2rtck@example.org
marta.rocha@cap-dinner.com,Marta Rocha,2011-02-11,email-4656981,O,pt,picture-4656981,2014-05-17T00:00:00.000Z,createdBy.2rtcl@example.net,2008-11-15T00:00:00.000Z,modifiedBy.2rtcl@example.com
luis.neves@cap-dinner.com,Luis Neves,2015-12-16,email-4656982,F,pt,picture-4656982,2013-02-08T00:00:00.000Z,createdBy.2rtcm@example.com,2009-01-06T00:00:00.000Z,modifiedBy.2rtcm@example.org
catarina.pinto@cap-dinner.com,Catarina Pinto,2000-11-14,email-4656983,F,lc,picture-4656983,2022-10-13T00:00:00.000Z,createdBy.2rtcn@example.com,2019-02-13T00:00:00.000Z,modifiedBy.2rtcn@example.org
